"gloss","target_child_name","part_of_speech","target_child_sex"
"Shelby's mommy","Emily","adj n","female"
"he was too big like that","Emily","pro:sub cop adv adj prep pro:dem","female"
"good girl","Emily","adj n","female"
"Mommy's going to bite the sandwich okay","Emily","n:prop part inf v det:art n adj","female"
"you did sit on the potty chair today","Emily","pro:per v v prep det:art adj n adv:tem","female"
"a pumpkin the first year","Emily","det:art n det:art adj n","female"
"what were you the second year","Emily","pro:int cop pro:per det:art adj n","female"
"he's just a big green guy huh","Emily","pro:sub adv det:art adj n n co","female"
"he's not scary is he","Emily","pro:sub neg adj cop pro:sub","female"
"he's a tall green guy huh","Emily","pro:sub det:art adj adj n co","female"
"a big guy","Emily","det:art adj n","female"
"Cassandra's","Emily","adj","female"
"we hadta make sure the building was safe","Emily","pro:sub mod v adj det:art n cop adj","female"
"what do you tell Mommy when I'm too close to the wall","Emily","pro:int mod pro:per v n:prop conj pro:sub adv adj prep det:art n","female"
"we tied it very safe right","Emily","pro:sub v pro:per adv adj co","female"
"you don't want it to touch the ceiling it's sharp and prickly up there","Emily","pro:per mod v pro:per inf v det:art n pro:per adj coord adj prep n","female"
"how did he get that big fish","Emily","pro:int mod pro:sub v det:dem adj n","female"
"just a little bit huh","Emily","adv det:art adj n co","female"
"they saw Uncle_Aggie's fish too","Emily","pro:sub v adj n adv","female"
"oh and Phil okay","Emily","co coord n:prop adj","female"
"can you tell me the names of the little boys you were playing with","Emily","mod pro:per v pro:obj det:art n prep det:art adj n pro:per aux part prep","female"
"not on your nice blanky please","Emily","neg prep det:poss adj adj co","female"
"oh wow that looks like that would be good today","Emma","co co pro:rel v prep pro:dem mod cop adj adv:tem","female"
"Ten_Little_Ladybugs did you read that for Jessica last time","Emma","n:prop mod pro:per v adv prep n:prop adj n","female"
"you did wear it to Janie's yesterday didn't ya","Emma","pro:per v v pro:per inf adj adv:tem mod pro:per","female"
"who was your favorite playmate in Germany","Emma","pro:int cop det:poss adj prep n:prop","female"
"whoever designed the car they were goofy","Emma","pro:int v det:art n pro:sub cop adj","female"
"that sounds good","Emma","pro:rel v adj","female"
"do you think you might be a little big","Emma","mod pro:per v pro:per mod cop det:art adj adj","female"
"I think that's part of Daddy's uh bike helmet","Emma","pro:sub v comp n prep adj n n","female"
"a big rhinoceros","Emma","det:art adj n","female"
"what are you doing goofy girl","Emma","pro:int aux pro:per part adj n","female"
"that's pretty cool","Emma","pro:dem adv adj","female"
"you are completely incomprehensible do you know that","Emma","pro:per cop adv adj mod pro:per v pro:dem","female"
"it's right there sweet pea","Emma","pro:per adv adv adj n","female"
"well can you put it back in","Emma","co mod pro:per v pro:per adj adv","female"
"you be gentle pretty girl","Emma","pro:per cop adj adj n","female"
"talk about standard gender representation","Emma","n adv adj n n","female"
"take Aunt_Carey into the back room and show her those toys","Emily","v n:prop prep det:art adj n coord v pro:obj det:dem n","female"
"what cheeky","Emma","pro:int adj","female"
"that poor lion","Emma","det:dem adj n","female"
"you're eating that whole sandwich","Emma","pro:per n:gerund adv adj n","female"
"that's a little microphone","Emma","pro:dem det:art adj n","female"
"you know usually with pretend food we just pretend to eat it","Emma","pro:per v adv prep adj n pro:sub adv adj inf v pro:per","female"
"yes that's what I was afraid of","Emma","co pro:dem pro:int pro:sub cop adj prep","female"
"let's try to be gentle with this and you know a good thing is to not touch that part right","Emma","v v inf cop adj prep det:dem coord pro:per v det:art adj n cop inf neg v det:dem n co","female"
"you know that part that you are touching","Emma","pro:per v adv adj comp pro:per aux part","female"
"well the battery's in there","Emma","co det:art adj prep n","female"
"no okay","Emma","co adj","female"
"it's white","Emma","pro:per adj","female"
"it's white peanut butter","Emma","pro:per adj n n","female"
"we don't eat stickers we just stick them on things","Emma","pro:sub mod v n pro:sub adj n pro:obj prep n","female"
"you're a goofy","Emma","pro:per det:art adj","female"
"oh we do okay","Emma","co pro:sub v adj","female"
"where's the restaurant sweet pea","Emma","pro:int det:art n adj n","female"
"do you think you could help out your poor deaf mother and speak louder","Emma","mod pro:per v pro:per mod v adv det:poss adj adj n coord v adj","female"
"chipper chopper","Emma","adj n","female"
"chipper chopper chipper chopper","Emma","adj n adj n","female"
"I suppose you could draw on that but I think you're a goofy girl","Emma","pro:sub v pro:per mod v prep det:dem conj pro:sub v pro:per det:art adj n","female"
"it's a long story","Emma","pro:per det:art adj n","female"
"red oh it looks like red","Emma","adj co pro:per v co n","female"
"whatcha drawing sweet pea","Emma","pro:int aux pro:per part adj n","female"
"yeah that's nice","Emma","co pro:dem adj","female"
"you drawing daddy's beard","Emma","pro:per n adj n","female"
"I know mommy didn't mean to do that","Emma","pro:sub v n mod adj inf v pro:dem","female"
"you what sweet pea","Emma","pro:per pro:int adj n","female"
"Heidi's your friend huh","Emma","adj det:poss n co","female"
"I guess there's more ambient noise here isn't there","Emma","pro:sub v pro:exist adv adj n adv cop adv","female"
"I think Jessica's gonna go and get something yeah","Emma","pro:sub v adj part v coord v pro:indef co","female"
"I'll see you sweet pea I'm off to Aunt_Chrissy's","Emma","pro:sub v pro:per n n pro:sub adv inf adj","female"
"wow you're good","Jillian","co pro:per adj","female"
"are you sure it was Jenell","Jillian","cop pro:per adj pro:per cop n:prop","female"
"a big car isn't it","Jillian","det:art adj n cop pro:per","female"
"doesn't she usually take somebody along with her for at least part of the ride","Jillian","mod pro:sub adv v pro:indef adv prep pro:obj prep prep adj n prep det:art n","female"
"what's the little boy doing in that pool","Jillian","pro:int det:art adj n part prep det:dem n","female"
"you said last time you liked to do it in the bathtub","Jillian","pro:per v adj n pro:per v inf v pro:per prep det:art","female"
"is that a new book","Jillian","cop comp det:art adj n","female"
"when's the last time you went to the doctor","Jillian","pro:int det:art adj n pro:per v prep det:art n","female"
"we got a new pool for you right","Jillian","pro:sub v det:art adj n prep pro:per co","female"
"what's the little boy doing now","Jillian","pro:int det:art adj n part adv","female"
"isn't this nice","Jillian","cop det:dem adj","female"
"this one's a brand new one","Jillian","pro:dem adj det:art adj adj pro:indef","female"
"where'd that little boy go","Jillian","pro:int mod det:dem adj n v","female"
"it is kinda crazy","Jillian","pro:per cop adj prep adj","female"
"it's a crazy car","Jillian","pro:per det:art adj n","female"
"is it okay that we that she uses them right","Jillian","cop pro:per adj comp pro:sub pro:rel pro:sub v pro:obj adj","female"
"oh yummy","Jillian","co adj","female"
"what's their favorite breakfast","Jillian","pro:int det:poss adj n","female"
"and this orange truck is doing something very different that I've never seen","Jillian","coord det:dem adj n aux part pro:indef adv adj comp pro:sub adv part","female"
"what is the orange truck doing","Jillian","pro:int cop det:art adj n part","female"
"I think this kind of sand is probably concrete for the street","Jillian","pro:sub v det:dem adj prep n cop adv n prep det:art n","female"
"she's going far huh","Jillian","pro:sub n:gerund adj co","female"
"I useta have this when I was a little girl do you know that","Jillian","pro:sub mod v pro:dem conj pro:sub cop det:art adj n v pro:per v pro:dem","female"
"this exact toy","Jillian","pro:dem adj n","female"
"oh sure","Jillian","co adj","female"
"oh I can move it and make it more comfortable for you if you'd like","Jillian","co pro:sub mod v pro:per coord v pro:per adv adj prep pro:per conj pro:per prep","female"
"can we keep it on a little bit longer do you think","Jillian","mod pro:sub v pro:per prep det:art adj n adj v pro:per v","female"
"yeah mommy's got one too","Jillian","co adj part pro:indef adv","female"
"Jilly if you wanna read Cat_in_the_Hat you hafta ask Jenell if that's okay","Jillian","n:prop conj pro:per v v n:prop pro:per mod v n:prop conj pro:dem adj","female"
