"gloss","target_child_sex"
"how do you stop the baby from crying","male"
"well how d how do you stop the baby from crying","male"
"what did you do to the baby","male"
"you kissed the baby okay","male"
"oh another baby","male"
"did did he put the baby in there","male"
"where is the baby","male"
"hey I think the baby's right there sweetie in the car","male"
"what do you do with a baby","male"
"but what do you do with the baby when the baby's here","male"
"if the baby's crying how do you make the baby stop crying","male"
"the baby does","male"
"where is the baby","male"
"baby go down slide","male"
"what's the baby doing","male"
"where oh be careful with the baby","male"
"what is the mom gonna do to put the baby to bed","male"
"baby wanna go pee okay","male"
"you take the baby for a walk in the stroller","male"
"a baby circle","male"
"okay make a baby circle go ahead","male"
"oh runaway baby","male"
"or is that a boy baby","male"
"Superman better oh Superman better be careful when he's flying with that baby","male"
"you draw a baby farm","male"
"go ahead you can make a baby turkey","male"
"to make a baby turkey can you cut can you trace your hand","male"
"don't drop the baby","male"
"I'm not leaving the baby with you two","male"
"is the baby hiding in there","female"
"he's a baby","female"
"and then what does what does the mommy do with the baby","female"
"wow what's the baby gonna do","female"
"baby","female"
"what's the mommy fish doing with the baby fish","female"
"the little baby fish is in the crib","female"
"do you wanna read that story to the baby","female"
"that will be able to get her to work faster and it will be able to get her to back to pick up the baby faster right","female"
"is it mommy that hasta go to the pop the doctor or is it the baby that hasta go to the doctor","female"
"baby just wants to be lying down","female"
"well mommy better put the baby somewhere","female"
"where should the baby go","female"
"the baby and the doggies","female"
"right you want one blanket on the baby on the bottom","female"
"byebye baby doll","female"
"there was a mommy one and a baby one do you remember","female"
"there was a baby deer looking at me","female"
"but this morning we saw a baby bear deer and a","female"
"where was the mommy deer and the baby deer Jilly girl","female"
"his name is baby","female"
"is the baby liking it Jillian","female"
"checking the baby oh checking the baby","male"
"baby take Boo's sandbox","male"
"baby took Boo's outside because when we moved we couldn't take it because it was so big","male"
"big tire we gave it to a baby","male"
"baby took Booboo's wagon no the baby","male"
"yeah Matty has a baby purse on you sure do","male"
"no more pacie baby took Boo's pacie","male"
"the baby might have it yeah I don't know sweetheart","male"
"you do wanna wear the baby purse","male"
"oh and the baby too","female"
"a baby is that a baby Elmo","male"
"yeah what's that baby oh my gosh what does that baby Elmo have","male"
"a little baby","female"
"a little baby dog named Scamp","female"
"that baby thing yep that's a baby thing","male"
"the little baby's wing is broken","female"
"do you remember the baby bird book we read the other day","male"
"rock a bye baby yeah","male"
"oh look at these little baby ones","male"
"now what did the mommy always say to the baby horse","female"
"what is what's the baby gonna do","female"
"what did the mommy say to the baby horse every time","female"
"you think the baby's gonna watch Shrek","female"
"a little baby dinosaur","female"
"because the baby horse became very very brave","female"
"say we have that since you were a new baby Matty","male"
"so when it was when the the baby horse found out that it was just very dirty it was time to","female"
"baby use that yes they do babies use this","male"
"this is a little baby roller coaster","male"
"this is a little baby bird and he said where's my momma and he's walking all over looking for his momma and then comes a tractor and it pushes him up in the air and takes him and then where does he put the baby bird","male"
"what's the baby what happens to the","male"
"baby bird where","male"
"new one you wanna make a new baby bird should momma make a green baby bird or a green one","male"
"Momma make a new baby bird okay","male"
"okay Momma use Momma make a new baby bird and then you wanna show how it goes up in the tractor","male"
"okay ready what's the baby bird in the new tractor doing","male"
"did you have a baby pumpkin at home","male"
"take him up and then where does he bring the baby bird","male"
"yeah what did you do with the baby pumpkin at home","male"
"what did you do with the baby pumpkin at home the one in the window what did you do with it","male"
"Erin hasn't seen the baby pumpkin","male"
"that was remember that's why we used the baby purse last week","male"
"you didn't want the baby purse today","male"
"you wanna use the baby purse","male"
"would you like her to put it in the baby purse","male"
"now who's using the baby purse today","male"
"Matthew and teddy bear baby Matthew","male"
"sun and baby hey what's that little baby wearing","male"
"those are your little baby socks from when you were so small","male"
"Cody yep he's holding you he's holding the little baby Matthew","male"
"yeah baby take it","male"
"what about the time that the baby horse became friends with the monsters","female"
"no baby","male"
"he fell down poor baby","male"
"what the baby do if he fell down","male"
"what would the baby do he would drink juice if he fell","male"
"baby take Mathew's pacie because he got too big","male"
"well after a while when the monsters wouldn't go away the mommy and the baby horse decided to ask the monsters some questions","female"
"what what kinda questions did the did the mommy horse and the baby horse have for the monsters","female"
"baby take it yeah but that's because you got to be so big","male"
"and so the monster's name was big monster and the baby horse and the mommy horse wanted to know more so how old are you","female"
"baby what","male"
"is this like a new baby the book","male"
"there's a mommy and a daddy and some kids and a baby carriage and a van and a car and a playhouse and a pool and a couch and a chair and a slide","female"
"okay let's check him out well good morning baby rock a bye baby on the tree top","male"
"you wanna rock the little baby","male"
"oh rock a bye baby","male"
"that's a baby house","male"
"go visit the baby house","male"
"go in the baby house yes","male"
"you don't want the baby purse","male"
"pretend this is a baby phone","male"
"no not a baby's phone","male"
"a baby now did we give this to a baby when we moved to New York","male"
"what did we give to the baby do you remember","male"
"that car yes what else did we give to a baby","male"
"where does the baby go","female"
"should the baby go to sleep in the bed","female"
"what's a baby sposta do with that","male"
"here I'll be the mommy and you be the baby okay","female"
"okay what's the baby's name","female"
"does the baby have a name","female"
"hi baby how are you","female"
"hey Jill what did the baby just do","female"
"there's our baby","female"
"hi baby","female"
"babies everyone's getting a baby","male"
"oh that's your baby","male"
"I'm gonna go get the baby","male"
"right here baby","male"
"baby's turn","female"
"baby's turn","female"
"oh who's gonna sleep in the baby bed","male"
"what's she bringing to the baby","male"
"is that your baby's bed there","female"
"baby hasta sleep on sheets","female"
"well is that your baby there","female"
"is the baby tired","female"
"the baby's going night_night","female"
"that oughta make the baby feel better now won't it","female"
"there's your baby","female"
"see if you can find the baby doll in the book","male"
"where's the other baby","female"
"poor baby you just threw him down on the ground","female"
"poor baby","female"
"you want the other baby over there","female"
"that's a good baby","female"
"baby","female"
"that is a baby","female"
"you see the baby","female"
"where's the baby","female"
"the babys sleeping","female"
"you want the baby","female"
"is that a little baby bear or something","female"
"you took the baby out already Aislinn","female"
"there's the baby up there","female"
"there's the baby","female"
"where's the baby","female"
"for the baby","female"
"look at the baby in there","female"
"where's the baby","female"
"how does the baby cry","female"
"how does the baby cry Aislinn","female"
"it's for the baby","female"
"it's the baby's bottle","female"
"bring the baby over here","female"
"it's the baby","female"
"bring the baby over here Aislinn","female"
"get the baby","female"
"get the baby","female"
"the babys hat","female"
"a little baby banana","female"
"baby doll already","female"
"is that a baby chair","female"
"you gonna give some to the baby","female"
"look what this babys gonna say","female"
"put the hat on the baby","female"
"give to baby","female"
"lets give the baby something to eat","female"
"look at the babys crying","female"
"give the baby a kiss","female"
"mommy'll hold the baby","female"
"when you take the baby out you needta have a pocketbook","female"
"the baby will ride in the car","female"
"why don't you feed the baby something","female"
"the baby's shirt is all wrinkled","female"
"you do it with the baby's shirt","female"
"a baby","female"
"that's a baby","female"
"why don't we let the man take the baby for a ride","female"
"baby","female"
"see the babys eyes","female"
"good_night baby","female"
"but what happened to the baby","female"
"put the baby in","female"
"where's the man going to take the baby","female"
"give it to the baby","female"
"that's a baby bottle","female"
"wash the baby","female"
"you're wiping the baby","female"
"are you the baby's mommy","female"
"that's the baby's blanket","female"
"puppy dog's looking at the baby","female"
"now the baby has no clothes","female"
"did the baby open that up","female"
"come over this way by the baby","female"
"who's the baby sitting next to","female"
"you get the baby","female"
"you get the baby","female"
"and the baby bottle","female"
"such a neat baby","female"
"it's the baby's blanket","female"
"you took all the baby's clothes off","female"
"now you gonna hafta put the diaper on the baby","female"
"I don't think that baby has a hole in his mouth","female"
"we didn't do such a good job in putting this baby's diaper on","female"
"the baby's in the tree top","female"
"I thought the baby was gonna have it","female"
"do you wanna put the baby's jacket on now","female"
"cook it for the baby or something","female"
"where's the baby's face","female"
"do you wanna put the baby's hat back on","female"
"the poor baby","female"
"do you want me to tie the baby's hat back on","female"
"puppy dog is gonna get the baby","female"
"and a baby doll","female"
"it's a baby","female"
"the baby's sleeping","female"
"the baby's sleeping","female"
"it's the baby's diaper","female"
"that's for the baby","female"
"here the baby has no clothes","female"
"the baby has no clothes on now","female"
"let's feed the baby","female"
"let's give the baby","female"
"that's for the baby","female"
"well give the baby some apple sauce","female"
"the baby loves it","female"
"for the baby","female"
"baby yeah","male"
"put them on the baby","female"
"baby's in a towel un","male"
"JJ is this baby","male"
"baby yeah","male"
"the baby wants some","female"
"you wanna give the baby some more","female"
"don't hammer the baby","female"
"baby","male"
"that's baby's bottle","male"
"baby's bottle","male"
"what happened to the baby","male"
"baby","male"
"you gonna put it on the baby","male"
"cover the baby","male"
"baby","male"
"uhoh baby","male"
"where's the baby's bottle","male"
"show me the baby's bottle","male"
"that's the baby's blanket","male"
"baby","male"
"where is the baby's blanket","male"
"baby's bottle","male"
"baby","male"
"where's the baby's bottle","male"
"can you give the baby a bottle","male"
"the baby's towel","male"
"that's the baby's blanket","male"
"where's the baby's bottle","male"
"are you gonna give the baby his bottle","male"
"where's the baby's bottle","male"
"you cant give the baby the fish","male"
"fish where's the baby's bottle","male"
"can you sing him rock a bye baby","female"
"who's the baby","male"
"you could give that to the baby","female"
"give the box to the baby","female"
"baby","male"
"give baby a kiss","male"
"the baby's crying","female"
"I don't think the baby knows how to drink from a cup","female"
"maybe you should do rock a bye baby and feed her","female"
"shall I do rock a bye baby","female"
"baby","male"
"baby JJ","male"
"where's the baby","male"
"yeah where's the baby","male"
"can you give mommy the baby","male"
"baby can you get the baby for mommy","male"
"oh isn't that a nice baby","male"
"nice baby","male"
"baby","male"
"do you wanna take the baby for a ride in the truck","male"
"baby ride in truck","male"
