gloss,target_child_name,part_of_speech,target_child_sex
mow the lawn okay,Benjamin,v det:art n adj,male
drive she's gonna drive down the hill too okay,Benjamin,pro:sub part v prep det:art n adv adj,male
pick the puppy up okay,Benjamin,v det:art n adv adj,male
other puppy up there okay,Benjamin,qn n prep n adj,male
down there okay,Benjamin,prep n adj,male
mow lawn down hill okay,Benjamin,v n prep n adj,male
oh this is new did they have this out last time,Benjamin,co pro:dem cop adj mod pro:sub v pro:dem prep adj n,male
good,Benjamin,adj,male
driving tractor okay,Benjamin,part n adj,male
what what happened what what little thing came,Benjamin,pro:int pro:int part pro:int pro:int adj n v,male
zoom down the hill okay,Benjamin,v prep det:art n adj,male
Dad didn't do a very good job,Benjamin,n:prop mod v det:art adv adj n,male
he go see waterfall okay,Benjamin,pro:sub v v n adj,male
I don't know you better go check it out,Benjamin,pro:sub mod v pro:per adj v v pro:per adv,male
watch out puppy okay,Benjamin,v prep n adj,male
oh he's driving the car okay,Benjamin,co pro:sub part det:art n adj,male
a lot of loud noises,Benjamin,det:art n prep adj n,male
he's all right okay,Benjamin,pro:sub adv adv adj,male
you are crazy today,Benjamin,pro:per cop adj adv:tem,male
gotta get more sand okay,Benjamin,mod v qn n adj,male
you kissed the baby okay,Benjamin,pro:per v det:art n adj,male
I think it's blue,Benjamin,pro:sub v pro:per adj,male
put more sand in there okay,Benjamin,v qn n prep n adj,male
what's that what does that mean,Benjamin,pro:int mod pro:dem adj,male
well I think I think that one's the sandbox,Benjamin,co pro:sub v pro:sub v adv adj det:art,male
nothing you sure,Benjamin,pro:indef pro:per adj,male
they're they're done eating okay,Benjamin,pro:sub part part adj,male
now they're leaving okay,Benjamin,adv pro:sub part adj,male
that's not a good idea,Benjamin,pro:dem neg det:art adj n,male
they're brown,Benjamin,pro:sub adj,male
it's hard,Benjamin,pro:per adj,male
he's stuck okay,Benjamin,pro:sub part adj,male
his dad's gonna ride the tractor okay,Benjamin,det:poss adj part v det:art n adj,male
he was under there okay,Benjamin,pro:sub cop prep n adj,male
pretty young for that,Benjamin,adv adj prep pro:dem,male
how about blue,Benjamin,pro:int adv adj,male
better fix it okay,Benjamin,adv v pro:per adj,male
it's a bummer,Benjamin,pro:per det:art adj,male
his feet don't go in there okay,Benjamin,det:poss n mod v prep n adj,male
you're just too little Ben,Benjamin,pro:per adj adv adj n:prop,male
carry him okay,Benjamin,v pro:obj adj,male
yeah it's just not fitting on you right,Benjamin,co pro:per adj neg part prep pro:per adj,male
get on tractor okay,Benjamin,v prep n adj,male
it was a bummer it was his little toy it had Superman with a cape and the cape comes off,Benjamin,pro:per cop det:art n pro:per cop det:poss adj n pro:per v n:prop prep det:art n coord det:art n v adv,male
Ryan's gonna be great with his own kid Ben,Benjamin,adj part cop adj prep det:poss adj n n:prop,male
what did the kitty just do,Benjamin,pro:int mod det:art n adj v,male
he get in van okay,Benjamin,pro:sub v prep n adj,male
you'll be okay,Benjamin,pro:per cop adj,male
didn't they do that last week,Benjamin,mod pro:sub v det:dem adj n,male
what's what's this little boy doing,Benjamin,pro:int det:dem adj n part,male
two vans how crazy is that,Benjamin,det:num n pro:rel adj cop pro:dem,male
what was this little boy doing,Benjamin,pro:int cop det:dem adj n part,male
what was the little boy doing,Benjamin,pro:int cop det:art adj n part,male
he's okay,Benjamin,pro:sub adj,male
going down the slide okay,Benjamin,part prep det:art n adj,male
that's good,Benjamin,pro:dem adj,male
hey I think the baby's right there sweetie in the car,Benjamin,co pro:sub v det:art adj n adv co prep det:art n,male
yeah just leave it in your pocket it's okay,Benjamin,co adv v pro:per prep det:poss n pro:per adj,male
fall down okay,Benjamin,v adv adj,male
it seems okay,Benjamin,pro:per cop adj,male
run on the farm okay,Benjamin,v prep det:art n adj,male
driving cars okay,Benjamin,part n adj,male
you sure,Benjamin,pro:per adj,male
this one's green,Benjamin,det:dem adj n,male
I know you do but Ryan's having a tough time you're too small,Benjamin,pro:sub v pro:per v conj n:prop part det:art adj n pro:per adv adj,male
at store okay,Benjamin,prep n adj,male
a little cart,Benjamin,det:art adj n,male
hey Benjy were you sad because we weren't going to see Ryan,Benjamin,co n:prop cop pro:per adj conj pro:sub aux part inf v n:prop,male
well we came close,Benjamin,co pro:sub v adj,male
maybe next week you'll try it,Benjamin,adv adj n pro:per v pro:per,male
she's gotta get a haircut now okay,Benjamin,pro:sub mod v det:art adv adj,male
his favorite ah everything's to four,Benjamin,det:poss n co adj prep det:num,male
what's his what's the cow's favorite show,Benjamin,pro:int det:art adj n n,male
is she the same as this one,Benjamin,cop pro:sub det:art adj prep det:dem pro:indef,male
now you got your own butt pack there,Benjamin,adv pro:per v det:poss adj n n adv,male
good response,Benjamin,adj n,male
there's little kitty,Benjamin,pro:exist adj n,male
where's the big horse,Benjamin,pro:int det:art adj n,male
he's on a horse okay,Benjamin,pro:sub prep det:art n adj,male
I think you're too big,Benjamin,pro:sub v pro:per adv adj,male
go see boy okay,Benjamin,v v n adj,male
I go get it okay,Benjamin,pro:sub v v pro:per adj,male
he will get out of that hole okay,Benjamin,pro:sub mod v adv prep det:dem n adj,male
a little boy there,Benjamin,det:art adj n adv,male
what's the little boy doing,Benjamin,pro:int det:art adj n part,male
he's in there okay,Benjamin,pro:sub prep n adj,male
uh you better you gotta find it,Benjamin,pro:per adj pro:per mod v pro:per,male
that's a boy okay,Benjamin,pro:dem det:art n adj,male
when are you gonna go on the potty,Benjamin,conj aux pro:per part v prep det:art adj,male
he go eat food okay,Benjamin,pro:sub v v n adj,male
Dad's gonna make food,Benjamin,adj part v n,male
oh you'll fix him up okay,Benjamin,co pro:per v pro:obj adv adj,male
good job,Benjamin,adj n,male
which one which one is Doctor_Weist's,Benjamin,pro:rel pro:indef cop adj,male
uhoh their van's gonna fall Ben,Benjamin,co det:poss adj part v n:prop,male
you better catch it,Benjamin,pro:per adj v pro:per,male
kitty in van okay,Benjamin,n prep n adj,male
way too many cool toys here,Benjamin,n adv qn adj n adv,male
you're okay okay good,Benjamin,pro:per adj co adj,male
boy gotta stay in there okay,Benjamin,co mod v prep n adj,male
you're gonna be the big brother Ben,Benjamin,pro:per part cop det:art adj n n:prop,male
due Monday Benjamin,Benjamin,adj n:prop n:prop,male
wow a slide in the house they're pretty lucky,Benjamin,co det:art n prep det:art n pro:sub adv adj,male
